SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI
0,DC:A6:32:33:B0:60,2020-07-02 11:58:21.839488,02c4b518-bc7c-11ea-8137-dca63233b05e,1,1,1,-28
1,DC:A6:32:33:B0:60,2020-07-02 11:58:22.055651,02c4b518-bc7c-11ea-8137-dca63233b05e,1,1,1,-30
2,DC:A6:32:33:B0:60,2020-07-02 11:58:23.547346,02c4b518-bc7c-11ea-8137-dca63233b05e,1,1,1,-32
3,DC:A6:32:33:B0:60,2020-07-02 11:58:24.045447,02c4b518-bc7c-11ea-8137-dca63233b05e,1,1,1,-32
4,DC:A6:32:33:B0:60,2020-07-02 11:58:26.049879,02c4b518-bc7c-11ea-8137-dca63233b05e,1,1,1,-28
5,DC:A6:32:33:B0:60,2020-07-02 11:58:27.555494,02c4b518-bc7c-11ea-8137-dca63233b05e,1,1,1,-34
6,DC:A6:32:33:B0:60,2020-07-02 11:58:28.283011,02c4b518-bc7c-11ea-8137-dca63233b05e,1,1,1,-32
7,DC:A6:32:33:B0:60,2020-07-02 11:58:30.288706,02c4b518-bc7c-11ea-8137-dca63233b05e,1,1,1,-31
8,DC:A6:32:33:B0:60,2020-07-02 11:58:31.003691,02c4b518-bc7c-11ea-8137-dca63233b05e,1,1,1,-32
9,DC:A6:32:33:B0:60,2020-07-02 11:58:32.378722,02c4b518-bc7c-11ea-8137-dca63233b05e,1,1,1,-32
10,DC:A6:32:33:B0:60,2020-07-02 11:58:34.024993,02c4b518-bc7c-11ea-8137-dca63233b05e,1,1,1,-35
11,DC:A6:32:33:B0:60,2020-07-02 11:58:35.123741,02c4b518-bc7c-11ea-8137-dca63233b05e,1,1,1,-32
12,DC:A6:32:33:B0:60,2020-07-02 11:58:37.128777,02c4b518-bc7c-11ea-8137-dca63233b05e,1,1,1,-32
13,DC:A6:32:33:B0:60,2020-07-02 11:58:38.028777,02c4b518-bc7c-11ea-8137-dca63233b05e,1,1,1,-34
14,DC:A6:32:33:B0:60,2020-07-02 11:58:40.033847,02c4b518-bc7c-11ea-8137-dca63233b05e,1,1,1,-32
15,DC:A6:32:33:B0:60,2020-07-02 11:58:41.047570,02c4b518-bc7c-11ea-8137-dca63233b05e,1,1,1,-30
16,DC:A6:32:33:B0:60,2020-07-02 11:58:43.052623,02c4b518-bc7c-11ea-8137-dca63233b05e,1,1,1,-32
17,DC:A6:32:33:B0:60,2020-07-02 11:58:44.396434,02c4b518-bc7c-11ea-8137-dca63233b05e,1,1,1,-30
18,DC:A6:32:33:B0:60,2020-07-02 11:58:46.057656,02c4b518-bc7c-11ea-8137-dca63233b05e,1,1,1,-32
19,DC:A6:32:33:B0:60,2020-07-02 11:58:47.216419,02c4b518-bc7c-11ea-8137-dca63233b05e,1,1,1,-36
20,DC:A6:32:33:B0:60,2020-07-02 11:58:48.317729,02c4b518-bc7c-11ea-8137-dca63233b05e,1,1,1,-35
21,DC:A6:32:33:B0:60,2020-07-02 11:58:49.030217,02c4b518-bc7c-11ea-8137-dca63233b05e,1,1,1,-32
22,DC:A6:32:33:B0:60,2020-07-02 11:58:50.310834,02c4b518-bc7c-11ea-8137-dca63233b05e,1,1,1,-32
23,DC:A6:32:33:B0:60,2020-07-02 11:58:51.055281,02c4b518-bc7c-11ea-8137-dca63233b05e,1,1,1,-32
24,DC:A6:32:33:B0:60,2020-07-02 11:58:53.060306,02c4b518-bc7c-11ea-8137-dca63233b05e,1,1,1,-32
